Tempo;Canal A;Canal B
(ms);(V);(mV)

-250,25516748;3,76293230;0,00305185
-250,09132749;3,71807003;0,00305185
-249,92748749;3,76293230;0,00305185
-249,76364749;3,71807003;0,00305185
-249,59980749;3,76293230;0,00305185
-249,43596749;3,71807003;0,00305185
-249,27212749;3,76293230;0,00305185
-249,10828749;3,76293230;0,00305185
-248,94444749;3,76293230;0,00305185
-248,78060749;3,71807003;0,00305185
-248,61676749;3,76293230;0,00305185
-248,45292750;3,76293230;0,00305185
-248,28908750;3,76293230;0,00305185
-248,12524750;3,76293230;0,00305185
-247,96140750;3,76293230;0,00305185
-247,79756750;3,71807003;0,00305185
-247,63372750;3,76293230;0,00305185
-247,46988750;3,71807003;0,00305185
-247,30604750;3,67336035;0,00305185
-247,14220750;3,76293230;0,00305185
-246,97836750;3,76293230;0,00305185
-246,81452751;3,76293230;-0,45167392
-246,65068751;3,71807003;0,00305185
-246,48684751;3,76293230;0,00305185
-246,32300751;3,58378863;0,91097748
-246,15916751;3,76293230;0,00305185
-245,99532751;3,76293230;0,00305185
-245,83148751;3,76293230;0,00305185
-245,66764751;3,71807003;0,00305185
-245,50380751;3,71807003;0,00305185
-245,33996751;3,76293230;0,00305185
-245,17612752;3,76293230;0,00305185
-245,01228752;3,76293230;0,00305185
-244,84844752;3,71807003;0,00305185
-244,68460752;3,76293230;0,00305185
-244,52076752;3,76293230;0,00305185
-244,35692752;3,76293230;0,00305185
-244,19308752;3,76293230;0,00305185
-244,02924752;3,76293230;0,00305185
-243,86540752;3,71807003;0,00305185
-243,70156752;3,76293230;0,00305185
-243,53772753;3,76293230;0,00305185
-243,37388753;3,71807003;0,00305185
-243,21004753;3,71807003;0,00305185
-243,04620753;3,76293230;0,00305185
-242,88236753;3,76293230;0,00305185
-242,71852753;3,76293230;0,00305185
-242,55468753;3,76293230;0,00305185
-242,39084753;3,76293230;0,00305185
-242,22700753;3,76293230;0,00305185
-242,06316753;3,71807003;0,00305185
-241,89932754;3,76293230;0,00305185
-241,73548754;3,80779433;-0,90639967
-241,57164754;3,71807003;0,00305185
-241,40780754;3,71807003;0,00305185
-241,24396754;3,76293230;0,00305185
-241,08012754;3,76293230;0,00305185
-240,91628754;3,76293230;0,00305185
-240,75244754;3,76293230;0,00305185
-240,58860754;3,71807003;0,00305185
-240,42476754;3,76293230;0,00305185
-240,26092755;3,71807003;0,00305185
-240,09708755;3,76293230;0,00305185
-239,93324755;3,76293230;0,00305185
-239,76940755;3,76293230;0,00305185
-239,60556755;3,76293230;0,00305185
-239,44172755;3,76293230;0,00305185
-239,27788755;3,76293230;0,00305185
-239,11404755;3,71807003;0,00305185
-238,95020755;3,76293230;0,00305185
-238,78636755;3,76293230;0,00305185
-238,62252755;3,76293230;0,00305185
-238,45868756;3,76293230;0,00305185
-238,29484756;3,71807003;0,00305185
-238,13100756;3,76293230;0,00305185
-237,96716756;3,76293230;0,00305185
-237,80332756;3,76293230;0,00305185
-237,63948756;3,76293230;0,00305185
-237,47564756;3,71807003;0,00305185
-237,31180756;3,76293230;0,00305185
-237,14796756;3,71807003;0,00305185
-236,98412756;3,76293230;0,00305185
-236,82028757;3,85250401;0,00305185
-236,65644757;3,76293230;0,00305185
-236,49260757;3,71807003;0,00305185
-236,32876757;3,62849808;-0,45167392
-236,16492757;3,76293230;0,00305185
-236,00108757;3,76293230;0,00305185
-235,83724757;3,76293230;0,00305185
-235,67340757;3,76293230;0,00305185
-235,50956757;3,71807003;0,00305185
-235,34572757;3,76293230;0,00305185
-235,18188758;3,76293230;0,00305185
-235,01804758;3,71807003;0,00305185
-234,85420758;3,76293230;0,00305185
-234,69036758;3,76293230;0,00305185
-234,52652758;3,76293230;0,00305185
-234,36268758;3,71807003;0,00305185
-234,19884758;3,71807003;0,00305185
-234,03500758;3,76293230;0,00305185
-233,87116758;3,71807003;0,00305185
-233,70732758;3,76293230;0,00305185
-233,54348759;3,71807003;0,00305185
-233,37964759;3,71807003;0,00305185
-233,21580759;3,71807003;0,00305185
-233,05196759;3,76293230;0,00305185
-232,88812759;3,76293230;0,00305185
-232,72428759;3,71807003;0,00305185
-232,56044759;3,76293230;0,00305185
-232,39660759;3,71807003;0,00305185
-232,23276759;3,71807003;0,00305185
-232,06892759;3,76293230;0,00305185
-231,90508760;3,71807003;0,00305185
-231,74124760;3,67336035;0,00305185
-231,57740760;3,76293230;0,00305185
-231,41356760;3,76293230;0,00305185
-231,24972760;3,76293230;0,00305185
-231,08588760;3,76293230;0,00305185
-230,92204760;3,76293230;0,00305185
-230,75820760;3,71807003;0,00305185
-230,59436760;3,76293230;0,00305185
-230,43052760;3,76293230;0,00305185
-230,26668761;3,71807003;0,00305185
-230,10284761;3,76293230;0,00305185
-229,93900761;3,76293230;0,00305185
-229,77516761;3,71807003;0,00305185
-229,61132761;3,71807003;0,00305185
-229,44748761;3,76293230;-0,45167392
-229,28364761;3,71807003;0,00305185
-229,11980761;3,76293230;0,00305185
-228,95596761;3,76293230;0,00305185
-228,79212761;3,76293230;0,00305185
-228,62828762;3,76293230;0,00305185
-228,46444762;3,76293230;0,00305185
-228,30060762;3,71807003;0,00305185
-228,13676762;3,71807003;0,00305185
-227,97292762;3,76293230;0,00305185
-227,80908762;3,71807003;0,00305185
-227,64524762;3,76293230;0,00305185
-227,48140762;3,76293230;0,00305185
-227,31756762;3,76293230;0,00305185
-227,15372762;3,76293230;0,00305185
-226,98988763;3,62849808;0,00305185
-226,82604763;3,76293230;0,00305185
-226,66220763;3,76293230;0,00305185
-226,49836763;3,76293230;0,00305185
-226,33452763;3,71807003;0,00305185
-226,17068763;3,71807003;0,00305185
-226,00684763;3,76293230;0,00305185
-225,84300763;3,76293230;0,00305185
-225,67916763;3,76293230;0,00305185
-225,51532763;3,76293230;0,00305185
-225,35148764;3,76293230;0,00305185
-225,18764764;3,76293230;0,00305185
-225,02380764;3,76293230;0,00305185
-224,85996764;3,76293230;0,00305185
-224,69612764;3,76293230;0,00305185
-224,53228764;3,71807003;0,00305185
-224,36844764;3,71807003;0,00305185
-224,20460764;3,71807003;0,00305185
-224,04076764;3,71807003;0,00305185
-223,87692764;3,76293230;0,00305185
-223,71308765;3,76293230;0,00305185
-223,54924765;3,76293230;0,00305185
-223,38540765;3,71807003;0,00305185
-223,22156765;3,76293230;0,00305185
-223,05772765;3,71807003;0,00305185
-222,89388765;3,71807003;0,00305185
-222,73004765;3,76293230;0,00305185
-222,56620765;3,71807003;-0,45167392
-222,40236765;3,76293230;0,00305185
-222,23852765;3,71807003;0,00305185
-222,07468766;3,76293230;0,00305185
-221,91084766;3,71807003;0,00305185
-221,74700766;3,76293230;0,00305185
-221,58316766;3,71807003;0,00305185
-221,41932766;3,76293230;0,00305185
-221,25548766;3,62849808;-0,45167392
-221,09164766;3,71807003;0,00305185
-220,92780766;3,71807003;0,00305185
-220,76396766;3,76293230;0,00305185
-220,60012766;3,76293230;0,00305185
-220,43628767;3,76293230;-0,45167392
-220,27244767;3,76293230;0,00305185
-220,10860767;3,71807003;0,00305185
-219,94476767;3,71807003;0,00305185
-219,78092767;3,71807003;0,00305185
-219,61708767;3,76293230;0,00305185
-219,45324767;3,76293230;0,00305185
-219,28940767;3,76293230;0,00305185
-219,12556767;3,71807003;0,00305185
-218,96172767;3,76293230;0,00305185
-218,79788768;3,76293230;0,00305185
-218,63404768;3,71807003;0,00305185
-218,47020768;3,76293230;0,00305185
-218,30636768;3,71807003;0,00305185
-218,14252768;3,76293230;0,00305185
-217,97868768;3,76293230;0,00305185
-217,81484768;3,76293230;0,00305185
-217,65100768;3,76293230;0,00305185
